Chicago White Sox	@whitesox	Official Site
White Sox Buzz Tap	@whitesoxbuzztap	White Sox Buzz Tap
White Sox Blogger	@whitesoxblogger	White Sox Blogger
Frank Thomas		@TheBigHurt_35	Former Player
Chris Rongey	@Chris Rongey	Host of 670 AM Pregame and Postgame Show
Scout White Sox	@ScoutWhiteSox	White Sox Minor League and Recruiting News
WSCR AM 670	@670TheScore	Radio Home for Chicago White Sox Baseball
Birmingham Barons	@BhamBarons	Birmingham Barons - Double-A affiliate
Winston-Salem Dash	@WSDashBaseball	Winston-Salem Dash - Class-A affiliate
South Paw	@Southpaw	Chicago White Sox Mascot
Chicago White Sox on RootZoo	@WhiteSoxTweets	Chicago White Sox on RootZoo
Marty Maloney	@martymaloney04	Public Relations Manager
